"Name","Occupation","Time.Spotted"
" Mary Martin"," actress",2018-01-29 12:41:00
" Woody Allen"," director",2018-07-23 04:42:30
" Lou Rawls"," singer",2018-02-01 10:18:10
" Lee Trevino"," PGA golfer",2018-12-20 03:46:00
" Richard Pryor"," actor",2018-03-21 18:21:20
" Bette Midler"," actress",2018-07-13 23:15:10
" Treat Williams"," actor",2018-12-23 05:53:10
" Georges Seurat"," painter",2018-07-15 10:27:00
" Charles Ringling"," formed Ringling Bros circus",2018-03-24 11:07:40
" Julie Harris"," actress",2018-11-14 19:09:10
" Cathy Lee Crosby"," actress",2018-12-13 21:40:50
" Stone Phillips"," TV journalist",2018-11-09 20:30:50
" Lucy Liu"," actress",2018-08-24 11:37:20
" Monica Seles"," champion tennis player",2018-08-02 17:37:30
" Britney Spears"," singer",2018-05-09 19:00:10
" Anna Freud"," psychoanalyst",2018-10-12 22:16:30
" Andy Williams"," singer",2018-01-30 16:38:20
" Ozzy Osbourne"," singer",2018-10-15 16:21:50
" Rick Mears"," auto racer",2018-02-14 15:15:10
" Darryl Hannah"," actress",2018-08-31 14:30:20
" Katerina Witt"," champion Olympic figure skater",2018-08-29 10:45:30
" Brendan Fraser"," actor",2018-01-11 05:18:00
" Spanish Dictator","",2018-02-22 22:08:50
" Jeff Bridges"," actor",2018-06-27 08:10:40
" Marisa Tomei"," actress",2018-07-01 22:27:30
" Tyra Banks"," model",2018-03-18 14:41:40
" Martin Van Buren"," 8th U.S. President",2018-08-12 02:26:50
" George Armstrong Custer"," cavalry officer",2018-09-06 03:58:50
" Walt Disney"," animator",2018-09-03 00:17:00
" Little Richard Penniman"," singer",2018-02-28 07:09:50
" Jim Messina"," singer",2018-12-15 02:05:20
" Morgan Brittany"," actress",2018-04-20 06:32:30
" Michael Dorn"," actor",2018-01-28 19:58:50
" Frankie Muniz"," actor",2018-08-03 08:52:20
" Joyce Kilmer"," poet",2018-10-31 11:14:00
" Ira Gershwin"," lyricist",2018-05-15 21:02:00
" Agnes Moorehead"," actress",2018-10-28 09:09:50
" Dave Brubeck"," jazz musician",2018-01-29 20:28:40
" Stephen Wright"," comedian",2018-12-14 00:16:40
" Andrew Cuomo"," politician",2018-05-14 22:50:10
" Marie Tussaud"," created Madame Tussaud's Waxwork Museum",2018-10-19 22:18:30
" Eli Wallach"," actor",2018-06-07 17:22:50
" Ted Knight"," actor",2018-05-21 03:38:40
" Harry Chapin"," singer",2018-11-01 20:38:00
" Gregg Allman"," singer",2018-11-08 03:18:30
" Johnny Bench"," Cincinnati Reds baseball catcher",2018-06-01 20:31:10
" Larry Bird"," NBA Boston Celtics basketball player",2018-09-16 10:34:20
" Edd Hall"," Tonight Show announcer",2018-03-13 20:52:40
" Eli Whitney"," invented the cotton gin",2018-02-13 22:49:30
" James Thurber"," humorist",2018-12-11 01:18:30
" Sammy Davis Jr."," actor",2018-04-06 20:27:20
" Maximilian Schell"," actor",2018-08-17 17:45:00
" Flip Wilson"," comedian",2018-08-27 08:14:00
" Jim Morrison"," singer",2018-04-28 13:59:00
" Kim Basinger"," actress",2018-05-09 19:59:30
" Teri Hatcher"," actress",2018-03-03 00:46:30
" Sinead O'Connor"," singer",2018-07-21 09:10:00
"John Milton"," poet",2018-11-15 16:10:50
" Emmett Kelly"," clown",2018-08-26 16:06:10
" Tip O'Neill"," politician",2018-10-16 18:14:30
" Kirk Douglas"," actor",2018-09-17 15:54:50
" Redd Foxx"," actor",2018-02-14 08:28:10
" Dick Van Patten"," actor",2018-06-19 13:43:10
" Buck Henry"," screenwriter",2018-11-21 14:18:00
"Beau Bridges"," actor",2018-06-17 23:37:10
" John Malkovich"," actor",2018-10-11 17:12:30
" Donny Osmond"," singer",2018-08-09 06:22:30
" Emily Dickinson"," poet",2018-09-15 19:58:20
" Melvil Dewey"," librarian",2018-04-10 00:25:20
" Chet Huntley"," newscaster",2018-11-27 00:56:20
" Dorothy Lamour"," actress",2018-02-08 07:37:10
" Dan Blocker"," actor",2018-10-11 19:58:00
" Gloria Loring"," actress",2018-02-04 23:03:40
" Susan Dey"," actress",2018-08-22 15:31:00
" Fiorello La Guardia"," New York City Mayor",2018-09-01 22:36:30
" Aleksandr Solzhenitsyn"," novelist",2018-11-17 21:52:40
" Rita Moreno"," actress",2018-09-11 03:25:20
" Donna Mills"," actress",2018-09-12 19:21:10
" Brenda Lee"," singer",2018-12-08 07:30:20
" Teri Garr"," actress",2018-09-06 04:15:40
" Jermaine Jackson"," singer",2018-08-01 19:27:30
" Edward G. Robinson"," actor",2018-08-04 01:19:20
" Bob Barker"," TV game show host",2018-03-09 10:59:20
" Ed Koch"," New York City mayor",2018-01-13 11:59:10
" Connie Francis"," singer",2018-02-03 14:47:20
" Dionne Warwick"," singer",2018-05-22 13:45:00
" Sheila Escoveda Sheila E "," singer",2018-03-31 17:19:10
" Mary Todd Lincoln"," First Lady of the United States",2018-12-26 20:39:30
" Archie Moore"," champion boxer",2018-11-09 00:24:10
" Dick Van Dyke"," actor",2018-07-27 09:15:20
" Christopher Plummer"," actor",2018-09-03 13:23:50
" John Davidson"," actor",2018-09-23 18:52:20
"Ted Nugent"," singer",2018-11-25 03:54:10
" Nostradamus"," astrologer",2018-12-22 15:29:50
" James Doolittle"," World War II aviator",2018-09-19 11:40:30
" Morey Amsterdam"," actor",2018-11-28 05:27:10
" Don Hewitt"," TV producer",2018-04-23 11:11:20
" Lee Remick"," actress",2018-06-09 06:03:30
"Patty Duke"," actress",2018-09-17 16:59:00
" Alexandre Gustave Eiffel"," engineer",2018-05-20 10:25:10
" J. Paul Getty"," oil billionaire",2018-11-25 20:21:40
" Maurice H. Wilkins"," biophysicist",2018-05-16 22:49:40
" Tim Conway"," actor and comedian",2018-11-25 12:20:30
" Dave Clark"," musician",2018-03-04 22:01:40
" Don Johnson"," actor",2018-11-12 04:47:30
" Garrett Wang"," actor",2018-01-16 22:40:30
" Ludwig van Beethoven"," composer",2018-02-11 17:04:30
" Margaret Mead"," anthropologist",2018-09-16 16:56:00
" Liv Ullmann"," actress",2018-01-20 00:03:40
