x,y,z
352,449,a
351,449,a
345,449,a
330,447,a
311,444,a
294,441,a
284,439,a
282,439,a
279,439,a
270,433,a
259,424,a
250,420,a
244,416,a
240,413,a
236,410,a
228,405,a
218,399,a
211,394,a
204,390,a
199,385,a
196,382,a
192,379,a
188,374,a
183,368,a
180,362,a
178,355,a
176,351,a
176,346,a
175,336,a
173,328,a
172,317,a
171,306,a
170,297,a
168,287,a
167,279,a
166,271,a
165,265,a
164,258,a
163,251,a
163,245,a
163,238,a
163,233,a
163,229,a
163,225,a
163,218,a
163,212,a
163,206,a
163,196,a
163,190,a
164,182,a
168,175,a
173,165,a
177,155,a
182,145,a
187,136,a
193,125,a
198,117,a
201,111,a
205,107,a
210,100,a
214,95,a
218,90,a
222,86,a
227,81,a
237,71,a
243,66,a
251,61,a
256,57,a
264,52,a
268,51,a
272,50,a
278,47,a
287,43,a
297,40,a
305,39,a
312,38,a
318,37,a
328,36,a
336,34,a
342,34,a
348,34,a
351,34,a
356,34,a
359,34,a
363,34,a
367,34,a
371,34,a
376,34,a
382,34,a
389,34,a
402,34,a
417,34,a
426,34,a
430,34,a
432,34,a
433,34,a
435,34,a
445,34,a
452,34,a
457,34,a
458,35,a
460,36,a
470,43,a
482,49,a
491,54,a
495,58,a
498,61,a
501,65,a
504,68,a
507,73,a
510,76,a
512,80,a
516,87,a
518,93,a
522,99,a
526,108,a
528,113,a
532,119,a
534,125,a
536,128,a
538,134,a
539,138,a
541,143,a
542,147,a
544,154,a
545,159,a
545,163,a
546,168,a
547,173,a
548,180,a
549,185,a
549,191,a
550,195,a
551,200,a
551,205,a
551,209,a
551,213,a
551,216,a
551,219,a
551,223,a
551,228,a
551,232,a
551,239,a
550,246,a
547,255,a
545,263,a
543,272,a
539,285,a
535,297,a
534,306,a
530,316,a
527,325,a
525,332,a
523,339,a
522,344,a
521,349,a
518,356,a
516,359,a
514,363,a
510,369,a
507,374,a
504,378,a
501,382,a
497,387,a
494,390,a
492,394,a
489,396,a
486,400,a
484,401,a
482,403,a
480,404,a
478,407,a
476,408,a
471,411,a
466,415,a
462,418,a
460,419,a
456,422,a
453,425,a
448,428,a
445,430,a
442,432,a
440,433,a
438,434,a
434,436,a
431,436,a
428,439,a
427,439,a
425,439,a
424,439,a
421,440,a
419,440,a
416,441,a
414,442,a
413,442,a
409,443,a
408,443,a
406,445,a
405,445,a
403,445,a
400,445,a
398,446,a
395,447,a
392,447,a
392,448,a
390,448,a
389,448,a
385,449,a
383,449,a
381,449,a
379,449,a
377,449,a
376,450,a
373,450,a
371,450,a
368,451,a
367,451,a
365,451,a
362,451,a
361,451,a
359,451,a
358,451,a
356,451,a
355,451,a
353,451,a
352,451,a
350,451,a
349,451,a
347,451,a
346,450,a
345,450,a
343,450,a
343,449,a
261,345,a
265,332,a
266,325,a
266,319,a
267,315,a
269,308,a
270,302,a
270,290,a
270,279,a
270,270,a
270,262,a
270,253,a
270,243,a
270,220,a
270,206,a
270,194,a
271,185,a
271,168,a
273,160,a
274,151,a
275,145,a
275,143,a
275,138,a
277,132,a
277,131,a
277,130,a
277,129,a
286,138,a
320,241,a
328,240,a
331,240,a
334,240,a
339,240,a
345,240,a
348,240,a
350,240,a
352,240,a
354,240,a
357,240,a
361,240,a
364,240,a
366,240,a
369,240,a
372,240,a
374,240,a
375,240,a
377,239,a
378,239,a
380,239,a
385,239,a
388,239,a
392,239,a
395,239,a
398,239,a
468,346,a
466,338,a
465,328,a
462,319,a
459,311,a
456,304,a
452,295,a
448,283,a
447,274,a
444,267,a
442,261,a
437,252,a
430,238,a
426,229,a
423,217,a
421,205,a
417,194,a
414,184,a
412,178,a
411,173,a
410,168,a
408,163,a
407,158,a
405,152,a
403,147,a
403,146,a
403,145,a
403,143,a
403,141,a
403,139,a
402,138,a
