weight_before,weight_after
215,285.8769771528998
218,288.87697715289977
220,290.8769771528998
222,293.0769771528998
222,292.8769771528998
223,293.87697715289977
225,295.8769771528998
227,297.6769771528998
229,299.27697715289986
230,299.0769771528998
233,301.4769771528998
234,301.47697715289985
237,303.0769771528998
240,305.67697715289984
241,306.0769771528998
242,307.0769771528998
243,307.6769771528998
244,308.27697715289986
245,308.67697715289984
245,308.47697715289985
245,308.0769771528998
245,307.67697715289984
245,307.47697715289985
245,307.0769771528998
216,287.4769771528998
217,288.4769771528998
223,295.6769771528998
229,302.67697715289984
235,309.47697715289985
238,312.87697715289977
244,319.67697715289984
253,329.6769771528998
261,338.67697715289984
269,347.27697715289986
281,360.4769771528998
287,366.8769771528998
292,372.2769771528998
295,375.67697715289984
298,378.87697715289977
302,383.0769771528998
303,384.0769771528998
306,387.0769771528998
307,387.8769771528998
311,391.4769771528998
314,393.8769771528998
316,395.4769771528998
317,396.2769771528998
317,396.0769771528998
317,395.8769771528998
317,395.6769771528998
317,395.4769771528998
317,395.2769771528998
317,395.0769771528998
318,396.0769771528998
320,398.47697715289985
327,406.8769771528998
345,428.2769771528998
366,452.8769771528998
382,471.6769771528998
387,477.4769771528998
389,479.87697715289977
390,481.0769771528998
402,495.4769771528998
412,507.0769771528998
421,517.8769771528998
427,524.8769771528998
429,527.0769771528998
435,534.2769771528998
443,543.6769771528999
457,560.0769771528998
468,572.8769771528998
474,579.6769771528998
475,580.8769771528998
476,582.0769771528998
478,584.4769771528998
481,588.0769771528998
484,591.4769771528997
486,593.6769771528998
488,596.0769771528999
489,597.2769771528998
491,599.4769771528997
495,604.0769771528999
499,608.6769771528998
503,613.2769771528998
504,614.4769771528997
504,614.2769771528998
505,615.4769771528998
506,616.6769771528998
507,617.6769771528998
508,618.6769771528999
509,619.6769771528998
510,620.8769771528998
511,621.6769771528998
512,622.6769771528998
513,623.8769771528998
514,624.8769771528998
516,626.8769771528997
518,628.8769771528998
520,630.8769771528998
520,630.6769771528998
521,631.6769771528998
523,633.6769771528999
524,634.6769771528998
525,635.2769771528998
526,636.2769771528998
527,637.4769771528998
527,637.0769771528998
528,638.0769771528999
530,640.0769771528999
531,641.0769771528998
532,642.0769771528998
